video_number,video_url,author,comment,likes,published_time
1,https://www.youtube.com/watch?v=GK7VsV3DEwk,@muasisulbais8088,"Perbanyak konten dengan para pakar bib, bosen bgt liat netizen sok tau, sekali sekali denger omongan yg memang dari pakarnya lah",0,6 bulan yang lalu
1,https://www.youtube.com/watch?v=GK7VsV3DEwk,@RAFIUDINDINDUN,Semoga tidak menjadi Overwhelmed agar kedepannya bisa menjadi pribadi yang Wisdom😊,0,6 bulan yang lalu
1,https://www.youtube.com/watch?v=GK7VsV3DEwk,@W-Wabil,Hadir menyimak bib.🙏🏻,0,6 bulan yang lalu
1,https://www.youtube.com/watch?v=GK7VsV3DEwk,@muhammadsyahfi5899,😶,0,6 bulan yang lalu
1,https://www.youtube.com/watch?v=GK7VsV3DEwk,@zawaafrida,"konten seperti ini membuat kita umat islam yang tulen dengan tradisi kesantrian bisa lebih open minded, keren",0,6 bulan yang lalu
1,https://www.youtube.com/watch?v=GK7VsV3DEwk,@Teman_Matik,"pak Gita, Prof Renald Khasali",1,6 bulan yang lalu
1,https://www.youtube.com/watch?v=GK7VsV3DEwk,@valkenbach,Menunggu Martin Suryajaya,0,6 bulan yang lalu
1,https://www.youtube.com/watch?v=GK7VsV3DEwk,@khusainidwisyahputra5049,Semoga istiqomah habib terus mendakwahkan ilmu,2,6 bulan yang lalu
1,https://www.youtube.com/watch?v=GK7VsV3DEwk,@ZaenalArifin-y5q,Bingung nggak lu Bib dengan jawaban ibu ini...? 😂😂,1,6 bulan yang lalu
1,https://www.youtube.com/watch?v=GK7VsV3DEwk,@ZaenalArifin-y5q,"Ibu Profesor ini ,jangan ditanya yang macem macem tentang Agama ,, Bingung dia.😂😂",1,6 bulan yang lalu
1,https://www.youtube.com/watch?v=GK7VsV3DEwk,@redbals1937,"Asalamualaikum habib, apakah boleh menjadi YouTuber dengan menyalakan adsense,saya bertanya ini,karena saya amati bnyk iklan YouTube yang tidak sesuai syariat islam",0,6 bulan yang lalu (diedit)
1,https://www.youtube.com/watch?v=GK7VsV3DEwk,@Mood_Bster,"(AI) itu seperti politik jika disalahgunakan bisa merusak peradaban,, jika digunakan dengan baik akan membantu seluruh mahluk hidup di alam semesta,, ❤",1,6 bulan yang lalu
1,https://www.youtube.com/watch?v=GK7VsV3DEwk,@rizadwilestari2172,bib gaada QNA?,0,6 bulan yang lalu
1,https://www.youtube.com/watch?v=GK7VsV3DEwk,@AndreaPutriutami,Guru gembul bib 😂,3,6 bulan yang lalu
1,https://www.youtube.com/watch?v=GK7VsV3DEwk,@Classicerrorsquad,"AI itu sama halnya api, bisa jadi kawan ataupun lawan, jadi ada manfaatnya, tapi dibalik manfaat itu ga dipungkiri klo AI jg bisa jadi senjata yg mematikan buat manusia meskipun ga secara harfiah, jadi sekedar saran mesti hati2 jg buat pake AI ini",2,6 bulan yang lalu
1,https://www.youtube.com/watch?v=GK7VsV3DEwk,@JurnalRasa_id,Jujur kurang menjawab isu dari judul videonya. Sebenernya sudah dijawab tapi kurang mendalam pembahasannya,0,6 bulan yang lalu
1,https://www.youtube.com/watch?v=GK7VsV3DEwk,@Rapmusicshow,jangan lupa shalat 𝟱𝗪𝗮𝗸𝘁𝘂 biar hidupnya makin 🅖🅐🅒🅞🅡,0,6 bulan yang lalu
1,https://www.youtube.com/watch?v=GK7VsV3DEwk,@salimahmad6555,Comen judol....jahannamm..,0,6 bulan yang lalu
