video_number,video_url,author,comment,likes,published_time,comment_length,case_folding,text_cleaning,normalized_text,tokens,stopwords_removed,stemmed,clean_comment,cluster
1,https://www.youtube.com/watch?v=GK7VsV3DEwk,@muasisulbais8088,"Perbanyak konten dengan para pakar bib, bosen bgt liat netizen sok tau, sekali sekali denger omongan yg memang dari pakarnya lah",0,6 bulan yang lalu,128,"perbanyak konten dengan para pakar bib, bosen bgt liat netizen sok tau, sekali sekali denger omongan yg memang dari pakarnya lah",perbanyak konten dengan para pakar bib bosen bgt liat netizen sok tau sekali sekali denger omongan yg memang dari pakarnya lah,perbanyak konten dengan para pakar bib bosen banget liat netizen sok tau sekali sekali denger omongan yg memang dari pakarnya lah,"['perbanyak', 'konten', 'dengan', 'para', 'pakar', 'bib', 'bosen', 'banget', 'liat', 'netizen', 'sok', 'tau', 'sekali', 'sekali', 'denger', 'omongan', 'yg', 'memang', 'dari', 'pakarnya', 'lah']","['perbanyak', 'konten', 'pakar', 'bib', 'bosen', 'banget', 'liat', 'netizen', 'sok', 'tau', 'denger', 'omongan', 'pakarnya']","['banyak', 'konten', 'pakar', 'bib', 'bosen', 'banget', 'liat', 'netizen', 'sok', 'tau', 'denger', 'omong', 'pakar']",banyak konten pakar bib bosen banget liat netizen sok tau denger omong pakar,1
1,https://www.youtube.com/watch?v=GK7VsV3DEwk,@RAFIUDINDINDUN,Semoga tidak menjadi Overwhelmed agar kedepannya bisa menjadi pribadi yang Wisdom😊,0,6 bulan yang lalu,82,semoga tidak menjadi overwhelmed agar kedepannya bisa menjadi pribadi yang wisdom😊,semoga tidak menjadi overwhelmed agar kedepannya bisa menjadi pribadi yang wisdom,semoga tidak menjadi overwhelmed agar kedepannya bisa menjadi pribadi yang wisdom,"['semoga', 'tidak', 'menjadi', 'overwhelmed', 'agar', 'kedepannya', 'bisa', 'menjadi', 'pribadi', 'yang', 'wisdom']","['semoga', 'overwhelmed', 'kedepannya', 'pribadi', 'wisdom']","['moga', 'overwhelmed', 'depan', 'pribadi', 'wisdom']",moga overwhelmed depan pribadi wisdom,1
1,https://www.youtube.com/watch?v=GK7VsV3DEwk,@W-Wabil,Hadir menyimak bib.🙏🏻,0,6 bulan yang lalu,21,hadir menyimak bib.🙏🏻,hadir menyimak bib,hadir menyimak bib,"['hadir', 'menyimak', 'bib']","['hadir', 'menyimak', 'bib']","['hadir', 'simak', 'bib']",hadir simak bib,0
1,https://www.youtube.com/watch?v=GK7VsV3DEwk,@muhammadsyahfi5899,😶,0,6 bulan yang lalu,1,😶,,,[],[],[],,0
1,https://www.youtube.com/watch?v=GK7VsV3DEwk,@zawaafrida,"konten seperti ini membuat kita umat islam yang tulen dengan tradisi kesantrian bisa lebih open minded, keren",0,6 bulan yang lalu,109,"konten seperti ini membuat kita umat islam yang tulen dengan tradisi kesantrian bisa lebih open minded, keren",konten seperti ini membuat kita umat islam yang tulen dengan tradisi kesantrian bisa lebih open minded keren,konten seperti ini membuat kita umat islam yang tulen dengan tradisi kesantrian bisa lebih open minded keren,"['konten', 'seperti', 'ini', 'membuat', 'kita', 'umat', 'islam', 'yang', 'tulen', 'dengan', 'tradisi', 'kesantrian', 'bisa', 'lebih', 'open', 'minded', 'keren']","['konten', 'umat', 'islam', 'tulen', 'tradisi', 'kesantrian', 'open', 'minded', 'keren']","['konten', 'umat', 'islam', 'tulen', 'tradisi', 'santri', 'open', 'minded', 'keren']",konten umat islam tulen tradisi santri open minded keren,2
1,https://www.youtube.com/watch?v=GK7VsV3DEwk,@Teman_Matik,"pak Gita, Prof Renald Khasali",1,6 bulan yang lalu,29,"pak gita, prof renald khasali",pak gita prof renald khasali,pak gita prof renald khasali,"['pak', 'gita', 'prof', 'renald', 'khasali']","['gita', 'renald', 'khasali']","['gita', 'renald', 'khasali']",gita renald khasali,1
1,https://www.youtube.com/watch?v=GK7VsV3DEwk,@valkenbach,Menunggu Martin Suryajaya,0,6 bulan yang lalu,25,menunggu martin suryajaya,menunggu martin suryajaya,menunggu martin suryajaya,"['menunggu', 'martin', 'suryajaya']","['menunggu', 'martin', 'suryajaya']","['tunggu', 'martin', 'suryajaya']",tunggu martin suryajaya,0
1,https://www.youtube.com/watch?v=GK7VsV3DEwk,@khusainidwisyahputra5049,Semoga istiqomah habib terus mendakwahkan ilmu,2,6 bulan yang lalu,46,semoga istiqomah habib terus mendakwahkan ilmu,semoga istiqomah habib terus mendakwahkan ilmu,semoga istiqomah habib terus mendakwahkan ilmu,"['semoga', 'istiqomah', 'habib', 'terus', 'mendakwahkan', 'ilmu']","['semoga', 'istiqomah', 'habib', 'mendakwahkan', 'ilmu']","['moga', 'istiqomah', 'habib', 'dakwah', 'ilmu']",moga istiqomah habib dakwah ilmu,1
1,https://www.youtube.com/watch?v=GK7VsV3DEwk,@ZaenalArifin-y5q,Bingung nggak lu Bib dengan jawaban ibu ini...? 😂😂,1,6 bulan yang lalu,50,bingung nggak lu bib dengan jawaban ibu ini...? 😂😂,bingung nggak lu bib dengan jawaban ibu ini,bingung nggak lu bib dengan jawaban ibu ini,"['bingung', 'nggak', 'lu', 'bib', 'dengan', 'jawaban', 'ibu', 'ini']","['bingung', 'bib']","['bingung', 'bib']",bingung bib,0
1,https://www.youtube.com/watch?v=GK7VsV3DEwk,@ZaenalArifin-y5q,"Ibu Profesor ini ,jangan ditanya yang macem macem tentang Agama ,, Bingung dia.😂😂",1,6 bulan yang lalu,81,"ibu profesor ini ,jangan ditanya yang macem macem tentang agama ,, bingung dia.😂😂",ibu profesor ini jangan ditanya yang macem macem tentang agama bingung dia,ibu profesor ini jangan ditanya yang macem macem tentang agama bingung dia,"['ibu', 'profesor', 'ini', 'jangan', 'ditanya', 'yang', 'macem', 'macem', 'tentang', 'agama', 'bingung', 'dia']","['profesor', 'macem', 'macem', 'agama', 'bingung']","['profesor', 'macem', 'macem', 'agama', 'bingung']",profesor macem macem agama bingung,1
